Model,Price Level Id,Feature Id,Price
B52 23,14,1005,$150.00 
B52 23,14,1007,"$1,600.00 "
B52 23,14,1107,"$1,600.00 "
B52 23,14,1008,"$2,200.00 "
B52 23,14,1108,"$2,200.00 "
B52 23,14,1009,$900.00 
B52 23,14,1010,$325.00 
B52 23,14,2011,"$2,800.00 "
B52 23,14,1012,$325.00 
B52 23,14,1013,$795.00 
B52 23,14,1014,$0.00 
B52 23,14,1015,"$1,100.00 "
B52 23,14,1016,"$1,440.00 "
B52 23,14,1017,$400.00 
B52 23,14,1018,"$1,100.00 "
B52 23,19,1001,"$3,595.00 "
B52 23,19,1002,"$12,000.00 "
B52 23,19,1003,$325.00 
B52 23,19,1004,$700.00 
B52 23,19,1005,$150.00 
B52 23,19,1007,"$1,600.00 "
B52 23,19,1107,"$1,600.00 "
B52 23,19,1008,"$2,200.00 "
B52 23,19,1108,"$2,200.00 "
B52 23,19,1009,$900.00 
B52 23,19,1010,$325.00 
B52 23,19,2011,"$2,300.00 "
B52 23,19,1012,$325.00 
B52 23,19,1013,$795.00 
B52 23,19,1014,$280.00 
B52 23,19,1015,"$1,100.00 "
B52 23,19,1016,"$1,440.00 "
B52 23,19,1017,$400.00 
B52 23,19,1018,"$1,100.00 "
B52 23,102,1001,"$3,595.00 "
B52 23,102,1002,"$12,000.00 "
B52 23,102,1003,$325.00 
B52 23,102,1004,$700.00 
B52 23,102,1005,$140.00 
B52 23,102,1007,"$1,600.00 "
B52 23,102,1107,"$1,600.00 "
B52 23,102,1008,"$2,200.00 "
B52 23,102,1108,"$2,200.00 "
B52 23,102,1009,$900.00 
B52 23,102,1010,$325.00 
B52 23,102,2011,"$2,300.00 "
B52 23,102,1012,$295.00 
B52 23,102,1013,$795.00 
B52 23,102,1014,$280.00 
B52 23,102,1015,"$1,100.00 "
B52 23,102,1016,"$1,440.00 "
B52 23,102,1017,"$1,600.00 "
B52 23,102,1018,"$1,100.00 "
Tomcat F21,0,1001,"$3,595.00 "
Tomcat F21,0,1002,"$12,000.00 "
Tomcat F21,0,1003,$325.00 
Tomcat F21,0,1004,$700.00 
Tomcat F21,0,1005,$150.00 
Tomcat F21,0,1007,"$1,600.00 "
Tomcat F21,0,1107,"$1,600.00 "
Tomcat F21,0,1008,"$2,200.00 "
Tomcat F21,0,1108,"$2,200.00 "
Tomcat F21,0,1009,$900.00 
Tomcat F21,0,1010,$325.00 
Tomcat F21,0,2011,"$2,800.00 "
Tomcat F21,0,1012,$325.00 
Tomcat F21,0,1013,$795.00 
Tomcat F21,0,1014,$280.00 
Tomcat F21,0,1015,"$1,100.00 "
Tomcat F21,0,1016,"$1,440.00 "
Tomcat F21,0,1017,$400.00 
Tomcat F21,0,1018,"$1,100.00 "
Tomcat F21,5,1001,"$3,595.00 "
Tomcat F21,5,1002,"$12,000.00 "
Tomcat F21,5,1003,$325.00 
Tomcat F21,5,1004,$700.00 
Tomcat F21,5,1005,$150.00 
Tomcat F21,5,1007,"$1,600.00 "
Tomcat F21,5,1107,"$1,600.00 "
Tomcat F21,5,1008,"$2,200.00 "
Tomcat F21,5,1108,"$2,200.00 "
Tomcat F21,5,1009,$900.00 
Tomcat F21,5,1010,$0.00 
Tomcat F21,5,2011,"$2,300.00 "
Tomcat F21,5,1012,$325.00 
Tomcat F21,5,1013,$795.00 
Tomcat F21,5,1014,$0.00 
Tomcat F21,5,1015,"$1,100.00 "
Tomcat F21,5,1016,"$1,440.00 "
Tomcat F21,5,1017,$400.00 
Tomcat F21,5,1018,"$1,100.00 "
Tomcat F21,9,1001,"$3,595.00 "
Tomcat F21,9,1002,"$12,000.00 "
Tomcat F21,9,1003,$325.00 
Tomcat F21,9,1004,$700.00 
Tomcat F21,9,1005,$150.00 
Tomcat F21,9,1007,"$1,600.00 "
Tomcat F21,9,1107,"$1,600.00 "
Tomcat F21,9,1008,"$2,200.00 "
Tomcat F21,9,1108,"$2,200.00 "
Tomcat F21,9,1009,$900.00 
Tomcat F21,9,1010,$325.00 
Tomcat F21,9,2011,"$2,300.00 "
Tomcat F21,9,1012,$325.00 
Tomcat F21,9,1013,$795.00 
Tomcat F21,9,1014,$280.00 
Tomcat F21,9,1015,"$1,100.00 "
Tomcat F21,9,1016,"$1,440.00 "
Tomcat F21,9,1017,$400.00 
Tomcat F21,9,1018,"$1,100.00 "
Tomcat F21,14,1001,"$3,595.00 "
Tomcat F21,14,1002,"$12,000.00 "
Tomcat F21,14,1003,$325.00 
Tomcat F21,14,1004,$0.00 
Tomcat F21,14,1005,$150.00 
Tomcat F21,14,1007,"$1,600.00 "
Tomcat F21,14,1107,"$1,600.00 "
Tomcat F21,14,1008,"$2,200.00 "
Tomcat F21,14,1108,"$2,200.00 "
Tomcat F21,14,1009,$900.00 
Tomcat F21,14,1010,$325.00 
Tomcat F21,14,2011,"$2,800.00 "
Tomcat F21,14,1012,$325.00 
Tomcat F21,14,1013,$795.00 
Tomcat F21,14,1014,$0.00 
Tomcat F21,14,1015,"$1,100.00 "
Tomcat F21,14,1016,"$1,440.00 "
Tomcat F21,14,1017,$400.00 
Tomcat F21,14,1018,"$1,100.00 "
Tomcat F21,19,1001,"$3,595.00 "
Tomcat F21,19,1002,"$12,000.00 "
Tomcat F21,19,1003,$325.00 
Tomcat F21,19,1004,$700.00 
Tomcat F21,19,1005,$150.00 
Tomcat F21,19,1007,"$1,600.00 "
Tomcat F21,19,1107,"$1,600.00 "
Tomcat F21,19,1008,"$2,200.00 "
Tomcat F21,19,1108,"$2,200.00 "
Tomcat F21,19,1009,$900.00 
Tomcat F21,19,1010,$325.00 
Tomcat F21,19,2011,"$2,300.00 "
Tomcat F21,19,1012,$325.00 
Tomcat F21,19,1013,$795.00 
Tomcat F21,19,1014,$280.00 
Tomcat F21,19,1015,"$1,100.00 "
Tomcat F21,19,1016,"$1,440.00 "
Tomcat F21,19,1017,$400.00 
Tomcat F21,19,1018,"$1,100.00 "
Tomcat F21,102,1001,"$3,595.00 "
Tomcat F21,102,1002,"$12,000.00 "
Tomcat F21,102,1003,$325.00 
Tomcat F21,102,1004,$700.00 
Tomcat F21,102,1005,$140.00 
Tomcat F21,102,1007,"$1,600.00 "
Tomcat F21,102,1107,"$1,600.00 "
Tomcat F21,102,1008,"$2,200.00 "
Tomcat F21,102,1108,"$2,200.00 "
Tomcat F21,102,1009,$900.00 
Tomcat F21,102,1010,$325.00 
Tomcat F21,102,2011,"$2,300.00 "
Tomcat F21,102,1012,$295.00 
Tomcat F21,102,1013,$795.00 
Tomcat F21,102,1014,$280.00 
Tomcat F21,102,1015,"$1,100.00 "
Tomcat F21,102,1016,"$1,440.00 "
Tomcat F21,102,1017,"$1,600.00 "
Tomcat F21,102,1018,"$1,100.00 "
Tomcat F22,0,1001,"$3,595.00 "
Tomcat F22,0,1002,"$12,000.00 "
Tomcat F22,0,1003,$325.00 
Tomcat F22,0,1004,$700.00 
Tomcat F22,0,1005,$150.00 
Tomcat F22,0,1007,"$1,600.00 "
Tomcat F22,0,1107,"$1,600.00 "
Tomcat F22,0,1008,"$2,200.00 "
Tomcat F22,0,1108,"$2,200.00 "
Tomcat F22,0,1009,$900.00 
Tomcat F22,0,1010,$325.00 
Tomcat F22,0,2011,"$2,800.00 "
Tomcat F22,0,1012,$325.00 
Tomcat F22,0,1013,$795.00 
Tomcat F22,0,1014,$280.00 
Tomcat F22,0,1015,"$1,100.00 "
Tomcat F22,0,1016,"$1,440.00 "
Tomcat F22,0,1017,$400.00 
Tomcat F22,0,1018,"$1,100.00 "
Tomcat F22,5,1001,"$3,595.00 "
Tomcat F22,5,1002,"$12,000.00 "
Tomcat F22,5,1003,$325.00 
Tomcat F22,5,1004,$700.00 
Tomcat F22,5,1005,$150.00 
Tomcat F22,5,1007,"$1,600.00 "
Tomcat F22,5,1107,"$1,600.00 "
Tomcat F22,5,1008,"$2,200.00 "
Tomcat F22,5,1108,"$2,200.00 "
Tomcat F22,5,1009,$900.00 
Tomcat F22,5,1010,$0.00 
Tomcat F22,5,2011,"$2,300.00 "
Tomcat F22,5,1012,$325.00 
Tomcat F22,5,1013,$795.00 
Tomcat F22,5,1014,$0.00 
Tomcat F22,5,1015,"$1,100.00 "
Tomcat F22,5,1016,"$1,440.00 "
Tomcat F22,5,1017,$400.00 
Tomcat F22,5,1018,"$1,100.00 "
Tomcat F22,9,1001,"$3,595.00 "
Tomcat F22,9,1002,"$12,000.00 "
Tomcat F22,9,1003,$325.00 
Tomcat F22,9,1004,$700.00 
Tomcat F22,9,1005,$150.00 
Tomcat F22,9,1007,"$1,600.00 "
Tomcat F22,9,1107,"$1,600.00 "
Tomcat F22,9,1008,"$2,200.00 "
Tomcat F22,9,1108,"$2,200.00 "
Tomcat F22,9,1009,$900.00 
Tomcat F22,9,1010,$325.00 
Tomcat F22,9,2011,"$2,300.00 "
Tomcat F22,9,1012,$325.00 
Tomcat F22,9,1013,$795.00 
Tomcat F22,9,1014,$280.00 
Tomcat F22,9,1015,"$1,100.00 "
Tomcat F22,9,1016,"$1,440.00 "
Tomcat F22,9,1017,$400.00 
Tomcat F22,9,1018,"$1,100.00 "
Tomcat F22,14,1001,"$3,595.00 "
Tomcat F22,14,1002,"$12,000.00 "
Tomcat F22,14,1003,$325.00 
Tomcat F22,14,1004,$0.00 
Tomcat F22,14,1005,$150.00 
Tomcat F22,14,1007,"$1,600.00 "
Tomcat F22,14,1107,"$1,600.00 "
Tomcat F22,14,1008,"$2,200.00 "
Tomcat F22,14,1108,"$2,200.00 "
Tomcat F22,14,1009,$900.00 
Tomcat F22,14,1010,$325.00 
Tomcat F22,14,2011,"$2,800.00 "
Tomcat F22,14,1012,$325.00 
Tomcat F22,14,1013,$795.00 
Tomcat F22,14,1014,$0.00 
Tomcat F22,14,1015,"$1,100.00 "
Tomcat F22,14,1016,"$1,440.00 "
Tomcat F22,14,1017,$400.00 
Tomcat F22,14,1018,"$1,100.00 "
Tomcat F22,19,1001,"$3,595.00 "
Tomcat F22,19,1002,"$12,000.00 "
Tomcat F22,19,1003,$325.00 
Tomcat F22,19,1004,$700.00 
Tomcat F22,19,1005,$150.00 
Tomcat F22,19,1007,"$1,600.00 "
Tomcat F22,19,1107,"$1,600.00 "
Tomcat F22,19,1008,"$2,200.00 "
Tomcat F22,19,1108,"$2,200.00 "
Tomcat F22,19,1009,$900.00 
Tomcat F22,19,1010,$325.00 
Tomcat F22,19,2011,"$2,300.00 "
Tomcat F22,19,1012,$325.00 
Tomcat F22,19,1013,$795.00 
Tomcat F22,19,1014,$280.00 
Tomcat F22,19,1015,"$1,100.00 "
Tomcat F22,19,1016,"$1,440.00 "
Tomcat F22,19,1017,$400.00 
Tomcat F22,19,1018,"$1,100.00 "
Tomcat F22,102,1001,"$3,595.00 "
Tomcat F22,102,1002,"$12,000.00 "
Tomcat F22,102,1003,$325.00 
Tomcat F22,102,1004,$700.00 
Tomcat F22,102,1005,$140.00 
Tomcat F22,102,1007,"$1,600.00 "
Tomcat F22,102,1107,"$1,600.00 "
Tomcat F22,102,1008,"$2,200.00 "
Tomcat F22,102,1108,"$2,200.00 "
Tomcat F22,102,1009,$900.00 
Tomcat F22,102,1010,$325.00 
Tomcat F22,102,2011,"$2,300.00 "
Tomcat F22,102,1012,$295.00 
Tomcat F22,102,1013,$795.00 
Tomcat F22,102,1014,$280.00 
Tomcat F22,102,1015,"$1,100.00 "
Tomcat F22,102,1016,"$1,440.00 "
Tomcat F22,102,1017,"$1,600.00 "
Tomcat F22,102,1018,"$1,100.00 "
Tomcat F22,0,1001,"$3,595.00 "
Tomcat F22,0,1002,"$12,000.00 "
Tomcat F22,0,1003,$325.00 
Tomcat F22,0,1004,$700.00 
Tomcat F22,0,1005,$150.00 
Tomcat F22,0,1007,"$1,600.00 "
Tomcat F22,0,1107,"$1,600.00 "
Tomcat F22,0,1008,"$2,200.00 "
Tomcat F22,0,1108,"$2,200.00 "
Tomcat F22,0,1009,$900.00 
Tomcat F22,0,1010,$325.00 
Tomcat F22,0,2011,"$2,800.00 "
Tomcat F22,0,1012,$325.00 
Tomcat F22,0,1013,$795.00 
Tomcat F22,0,1014,$280.00 
Tomcat F22,0,1016,"$1,440.00 "
Tomcat F22,0,1018,"$1,100.00 "
Tomcat F22,5,1001,"$3,595.00 "
Tomcat F22,5,1002,"$12,000.00 "
Tomcat F22,5,1003,$325.00 
Tomcat F22,5,1004,$700.00 
Tomcat F22,5,1005,$150.00 
Tomcat F22,5,1007,$0.00 
Tomcat F22,5,1107,$0.00 
Tomcat F22,5,1008,"$2,200.00 "
Tomcat F22,5,1108,"$2,200.00 "
Tomcat F22,5,1009,$0.00 
Tomcat F22,5,1010,$0.00 
Tomcat F22,5,2011,"$1,400.00 "
Tomcat F22,5,1012,$325.00 
Tomcat F22,5,1013,$795.00 
Tomcat F22,5,1014,$0.00 
Tomcat F22,5,1016,"$1,440.00 "
Tomcat F22,5,1018,"$1,100.00 "
Tomcat F22,9,1001,"$3,595.00 "
Tomcat F22,9,1002,"$12,000.00 "
Tomcat F22,9,1003,$0.00 
Tomcat F22,9,1004,$700.00 
Tomcat F22,9,1005,$150.00 
Tomcat F22,9,1007,$0.00 
Tomcat F22,9,1107,$0.00 
Tomcat F22,9,1008,"$2,200.00 "
Tomcat F22,9,1108,"$2,200.00 "
Tomcat F22,9,1009,$0.00 
Tomcat F22,9,1010,$0.00 
Tomcat F22,9,2011,"$1,400.00 "
Tomcat F22,9,1012,$325.00 
